         3899838 function calls (3855501 primitive calls) in 31.884 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
     3088    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
      166    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
     1055    0.000    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 {built-in method maketrans}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
      235    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      766    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       12    0.000    0.000    0.000    0.000 {method 'keys' of 'mappingproxy' objects}
     1168    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      661    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
      153    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       14    0.000    0.000    0.000    0.000 {method 'deleter' of 'property' objects}
      260    0.000    0.000    0.000    0.000 {function HDUList.__getitem__ at 0x7fd98a0ee4c0}
   147464    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     2540    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
     1294    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     4583    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2376    0.007    0.000    0.007    0.000 {method 'remove' of 'list' objects}
       21    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
      658    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        3    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
     2833    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     3247    0.000    0.000    0.000    0.000 {function Section.__getitem__ at 0x7fd9887ef940}
    43539    0.004    0.000    0.005    0.000 {method 'get' of 'dict' objects}
     1596    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     2300    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       37    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
      566    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    13321    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       71    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     3766    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      650    0.000    0.000    0.001    0.000 {built-in method fromkeys}
       22    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
     1071    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
        7    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       11    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
       21    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
     4269    0.001    0.000    0.001    0.000 {method 'cast' of 'memoryview' objects}
     5951    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       15    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
