# LAT    LCM    MU    RAD    ERROR    NU    VIEW
-89.50 286.05 86.28 1.27959e-08 6.39795e-10 1253.06250 -1.0
-88.50 286.05 85.40 1.26631e-08 6.33155e-10 1253.06250 -1.0
-87.50 286.05 84.53 1.27093e-08 6.35465e-10 1253.06250 -1.0
-86.50 286.05 83.65 1.30885e-08 6.54426e-10 1253.06250 -1.0
-85.50 286.05 82.78 1.37935e-08 6.89673e-10 1253.06250 -1.0
-84.50 286.05 81.90 1.43725e-08 7.18624e-10 1253.06250 -1.0
-83.50 286.05 81.02 1.48291e-08 7.41455e-10 1253.06250 -1.0
-82.50 286.05 80.15 1.50099e-08 7.50493e-10 1253.06250 -1.0
-81.50 286.05 79.27 1.50749e-08 7.53746e-10 1253.06250 -1.0
-80.50 286.05 78.39 1.50907e-08 7.54535e-10 1253.06250 -1.0
-79.50 286.05 77.51 1.51067e-08 7.55334e-10 1253.06250 -1.0
-78.50 286.05 76.63 1.51377e-08 7.56887e-10 1253.06250 -1.0
-77.50 286.05 75.74 1.51180e-08 7.55898e-10 1253.06250 -1.0
-76.50 286.05 74.86 1.50797e-08 7.53985e-10 1253.06250 -1.0
-75.50 286.05 73.97 1.51152e-08 7.55761e-10 1253.06250 -1.0
-74.50 286.05 73.08 1.49882e-08 7.49412e-10 1253.06250 -1.0
-73.50 286.05 72.19 1.48295e-08 7.41477e-10 1253.06250 -1.0
-72.50 286.05 71.30 1.46281e-08 7.31405e-10 1253.06250 -1.0
-71.50 286.05 70.41 1.44397e-08 7.21985e-10 1253.06250 -1.0
-70.50 286.05 69.51 1.42192e-08 7.10959e-10 1253.06250 -1.0
-69.50 286.05 68.61 1.41183e-08 7.05915e-10 1253.06250 -1.0
-68.50 286.05 67.71 1.40252e-08 7.01262e-10 1253.06250 -1.0
-67.50 286.05 66.80 1.40452e-08 7.02261e-10 1253.06250 -1.0
-66.50 286.05 65.90 1.40785e-08 7.03927e-10 1253.06250 -1.0
-65.50 286.05 64.99 1.40748e-08 7.03739e-10 1253.06250 -1.0
-64.50 286.05 64.07 1.38367e-08 6.91837e-10 1253.06250 -1.0
-63.50 286.05 63.16 1.36023e-08 6.80114e-10 1253.06250 -1.0
-62.50 286.05 62.24 1.33687e-08 6.68437e-10 1253.06250 -1.0
-61.50 286.05 61.32 1.31935e-08 6.59677e-10 1253.06250 -1.0
-60.50 286.05 60.39 1.30978e-08 6.54891e-10 1253.06250 -1.0
-59.50 286.05 59.46 1.30097e-08 6.50486e-10 1253.06250 -1.0
-58.50 286.05 58.53 1.29292e-08 6.46459e-10 1253.06250 -1.0
-57.50 286.05 57.59 1.28412e-08 6.42062e-10 1253.06250 -1.0
-56.50 286.05 56.65 1.27605e-08 6.38024e-10 1253.06250 -1.0
-55.50 286.05 55.71 1.26270e-08 6.31348e-10 1253.06250 -1.0
-54.50 286.05 54.76 1.25371e-08 6.26853e-10 1253.06250 -1.0
