# LAT    LCM    MU    RAD    ERROR    NU    VIEW
-89.50 64.44 86.27 8.06837e-08 4.03419e-09 815.70010 -1.0
-88.50 64.44 85.39 8.14070e-08 4.07035e-09 815.70010 -1.0
-87.50 64.44 84.52 8.31614e-08 4.15807e-09 815.70010 -1.0
-86.50 64.44 83.64 8.67458e-08 4.33729e-09 815.70010 -1.0
-85.50 64.44 82.77 9.44619e-08 4.72309e-09 815.70010 -1.0
-84.50 64.44 81.89 1.00329e-07 5.01646e-09 815.70010 -1.0
-83.50 64.44 81.01 1.05051e-07 5.25255e-09 815.70010 -1.0
-82.50 64.44 80.14 1.08516e-07 5.42579e-09 815.70010 -1.0
-81.50 64.44 79.26 1.11032e-07 5.55159e-09 815.70010 -1.0
-80.50 64.44 78.38 1.12976e-07 5.64878e-09 815.70010 -1.0
-79.50 64.44 77.50 1.14720e-07 5.73598e-09 815.70010 -1.0
-78.50 64.44 76.62 1.16190e-07 5.80950e-09 815.70010 -1.0
-77.50 64.44 75.73 1.16996e-07 5.84981e-09 815.70010 -1.0
-76.50 64.44 74.85 1.16921e-07 5.84603e-09 815.70010 -1.0
-75.50 64.44 73.96 1.16181e-07 5.80907e-09 815.70010 -1.0
-74.50 64.44 73.07 1.14648e-07 5.73240e-09 815.70010 -1.0
-73.50 64.44 72.18 1.12163e-07 5.60816e-09 815.70010 -1.0
-72.50 64.44 71.29 1.09357e-07 5.46786e-09 815.70010 -1.0
-71.50 64.44 70.39 1.06018e-07 5.30092e-09 815.70010 -1.0
-70.50 64.44 69.50 1.02622e-07 5.13110e-09 815.70010 -1.0
-69.50 64.44 68.60 9.96636e-08 4.98318e-09 815.70010 -1.0
-68.50 64.44 67.70 9.73655e-08 4.86828e-09 815.70010 -1.0
-67.50 64.44 66.79 9.55207e-08 4.77603e-09 815.70010 -1.0
-66.50 64.44 65.88 9.41944e-08 4.70972e-09 815.70010 -1.0
-65.50 64.44 64.98 9.27971e-08 4.63986e-09 815.70010 -1.0
-64.50 64.44 64.06 9.08281e-08 4.54140e-09 815.70010 -1.0
-63.50 64.44 63.15 8.84863e-08 4.42432e-09 815.70010 -1.0
-62.50 64.44 62.23 8.64732e-08 4.32366e-09 815.70010 -1.0
-61.50 64.44 61.30 8.51578e-08 4.25789e-09 815.70010 -1.0
-60.50 64.44 60.38 8.47645e-08 4.23823e-09 815.70010 -1.0
-59.50 64.44 59.45 8.49490e-08 4.24745e-09 815.70010 -1.0
-58.50 64.44 58.52 8.52561e-08 4.26281e-09 815.70010 -1.0
-57.50 64.44 57.58 8.47735e-08 4.23868e-09 815.70010 -1.0
-56.50 64.44 56.64 8.38664e-08 4.19332e-09 815.70010 -1.0
-55.50 64.44 55.70 8.33741e-08 4.16871e-09 815.70010 -1.0
-54.50 64.44 54.75 8.33562e-08 4.16781e-09 815.70010 -1.0
-53.50 64.44 53.80 8.36962e-08 4.18481e-09 815.70010 -1.0
-52.50 64.44 52.84 8.39576e-08 4.19788e-09 815.70010 -1.0
-51.50 64.44 51.88 8.42483e-08 4.21242e-09 815.70010 -1.0
-50.50 64.44 50.92 8.46294e-08 4.23147e-09 815.70010 -1.0
-49.50 64.44 49.95 8.47789e-08 4.23894e-09 815.70010 -1.0
-48.50 64.44 48.98 8.42134e-08 4.21067e-09 815.70010 -1.0
-47.50 64.44 48.00 8.33168e-08 4.16584e-09 815.70010 -1.0
-46.50 64.44 47.02 8.30571e-08 4.15285e-09 815.70010 -1.0
-45.50 64.44 46.03 8.35526e-08 4.17763e-09 815.70010 -1.0
-44.50 64.44 45.04 8.43348e-08 4.21674e-09 815.70010 -1.0
-43.50 64.44 44.04 8.52945e-08 4.26472e-09 815.70010 -1.0
-42.50 64.44 43.04 8.62611e-08 4.31306e-09 815.70010 -1.0
-41.50 64.44 42.04 8.70030e-08 4.35015e-09 815.70010 -1.0
-40.50 64.44 41.03 8.71564e-08 4.35782e-09 815.70010 -1.0
-39.50 64.44 40.01 8.63679e-08 4.31839e-09 815.70010 -1.0
-38.50 64.44 38.99 8.48654e-08 4.24327e-09 815.70010 -1.0
-37.50 64.44 37.97 8.42249e-08 4.21124e-09 815.70010 -1.0
-36.50 64.44 36.94 8.42042e-08 4.21021e-09 815.70010 -1.0
-35.50 64.44 35.91 8.48482e-08 4.24241e-09 815.70010 -1.0
-34.50 64.44 34.87 8.56818e-08 4.28409e-09 815.70010 -1.0
-33.50 64.44 33.83 8.56894e-08 4.28447e-09 815.70010 -1.0
-32.50 64.44 32.78 8.48109e-08 4.24054e-09 815.70010 -1.0
-31.50 64.44 31.72 8.36078e-08 4.18039e-09 815.70010 -1.0
-30.50 64.44 30.67 8.40420e-08 4.20210e-09 815.70010 -1.0
