# LAT    LCM    MU    RAD    ERROR    NU    VIEW
-89.50 78.13 86.27 2.56139e-08 1.28070e-09 887.52400 -1.0
-88.50 78.13 85.39 2.57562e-08 1.28781e-09 887.52400 -1.0
-87.50 78.13 84.52 2.62875e-08 1.31438e-09 887.52400 -1.0
-86.50 78.13 83.64 2.75581e-08 1.37790e-09 887.52400 -1.0
-85.50 78.13 82.77 2.99604e-08 1.49802e-09 887.52400 -1.0
-84.50 78.13 81.89 3.15944e-08 1.57972e-09 887.52400 -1.0
-83.50 78.13 81.01 3.28967e-08 1.64483e-09 887.52400 -1.0
-82.50 78.13 80.14 3.38946e-08 1.69473e-09 887.52400 -1.0
-81.50 78.13 79.26 3.46746e-08 1.73373e-09 887.52400 -1.0
-80.50 78.13 78.38 3.52831e-08 1.76416e-09 887.52400 -1.0
-79.50 78.13 77.50 3.56632e-08 1.78316e-09 887.52400 -1.0
-78.50 78.13 76.62 3.59623e-08 1.79811e-09 887.52400 -1.0
-77.50 78.13 75.73 3.60771e-08 1.80386e-09 887.52400 -1.0
-76.50 78.13 74.85 3.58549e-08 1.79274e-09 887.52400 -1.0
-75.50 78.13 73.96 3.55891e-08 1.77946e-09 887.52400 -1.0
-74.50 78.13 73.07 3.50275e-08 1.75137e-09 887.52400 -1.0
-73.50 78.13 72.18 3.41901e-08 1.70950e-09 887.52400 -1.0
-72.50 78.13 71.29 3.34074e-08 1.67037e-09 887.52400 -1.0
-71.50 78.13 70.39 3.25511e-08 1.62755e-09 887.52400 -1.0
-70.50 78.13 69.50 3.19515e-08 1.59757e-09 887.52400 -1.0
-69.50 78.13 68.60 3.15979e-08 1.57990e-09 887.52400 -1.0
-68.50 78.13 67.70 3.14834e-08 1.57417e-09 887.52400 -1.0
-67.50 78.13 66.79 3.14634e-08 1.57317e-09 887.52400 -1.0
-66.50 78.13 65.89 3.15684e-08 1.57842e-09 887.52400 -1.0
-65.50 78.13 64.98 3.17354e-08 1.58677e-09 887.52400 -1.0
-64.50 78.13 64.06 3.19137e-08 1.59568e-09 887.52400 -1.0
-63.50 78.13 63.15 3.18051e-08 1.59025e-09 887.52400 -1.0
-62.50 78.13 62.23 3.16548e-08 1.58274e-09 887.52400 -1.0
-61.50 78.13 61.31 3.16459e-08 1.58230e-09 887.52400 -1.0
-60.50 78.13 60.38 3.21096e-08 1.60548e-09 887.52400 -1.0
-59.50 78.13 59.45 3.27160e-08 1.63580e-09 887.52400 -1.0
-58.50 78.13 58.52 3.32549e-08 1.66275e-09 887.52400 -1.0
-57.50 78.13 57.58 3.33114e-08 1.66557e-09 887.52400 -1.0
-56.50 78.13 56.64 3.30749e-08 1.65374e-09 887.52400 -1.0
-55.50 78.13 55.70 3.33129e-08 1.66564e-09 887.52400 -1.0
-54.50 78.13 54.75 3.39158e-08 1.69579e-09 887.52400 -1.0
-53.50 78.13 53.80 3.44655e-08 1.72328e-09 887.52400 -1.0
-52.50 78.13 52.84 3.49475e-08 1.74737e-09 887.52400 -1.0
-51.50 78.13 51.88 3.56414e-08 1.78207e-09 887.52400 -1.0
-50.50 78.13 50.92 3.63642e-08 1.81821e-09 887.52400 -1.0
-49.50 78.13 49.95 3.65974e-08 1.82987e-09 887.52400 -1.0
-48.50 78.13 48.98 3.63804e-08 1.81902e-09 887.52400 -1.0
-47.50 78.13 48.00 3.58241e-08 1.79120e-09 887.52400 -1.0
-46.50 78.13 47.02 3.60299e-08 1.80149e-09 887.52400 -1.0
-45.50 78.13 46.03 3.67549e-08 1.83774e-09 887.52400 -1.0
-44.50 78.13 45.04 3.76170e-08 1.88085e-09 887.52400 -1.0
-43.50 78.13 44.04 3.85714e-08 1.92857e-09 887.52400 -1.0
-42.50 78.13 43.04 3.95791e-08 1.97895e-09 887.52400 -1.0
-41.50 78.13 42.04 4.05026e-08 2.02513e-09 887.52400 -1.0
-40.50 78.13 41.03 4.09214e-08 2.04607e-09 887.52400 -1.0
-39.50 78.13 40.01 4.05636e-08 2.02818e-09 887.52400 -1.0
-38.50 78.13 38.99 3.93664e-08 1.96832e-09 887.52400 -1.0
-37.50 78.13 37.97 3.91005e-08 1.95503e-09 887.52400 -1.0
-36.50 78.13 36.94 3.94295e-08 1.97147e-09 887.52400 -1.0
-35.50 78.13 35.91 4.04219e-08 2.02110e-09 887.52400 -1.0
-34.50 78.13 34.87 4.17932e-08 2.08966e-09 887.52400 -1.0
-33.50 78.13 33.83 4.20981e-08 2.10491e-09 887.52400 -1.0
-32.50 78.13 32.78 4.18207e-08 2.09104e-09 887.52400 -1.0
-31.50 78.13 31.73 4.08846e-08 2.04423e-09 887.52400 -1.0
-30.50 78.13 30.67 4.12438e-08 2.06219e-09 887.52400 -1.0
-29.50 78.13 29.61 4.34550e-08 2.17275e-09 887.52400 -1.0
-28.50 78.13 28.54 4.56314e-08 2.28157e-09 887.52400 -1.0
-27.50 78.13 27.47 4.81309e-08 2.40655e-09 887.52400 -1.0
-26.50 78.13 26.39 4.94928e-08 2.47464e-09 887.52400 -1.0
-25.50 78.13 25.31 4.97396e-08 2.48698e-09 887.52400 -1.0
-24.50 78.13 24.23 4.98600e-08 2.49300e-09 887.52400 -1.0
-23.50 78.13 23.14 4.97575e-08 2.48788e-09 887.52400 -1.0
-22.50 78.13 22.05 4.79049e-08 2.39524e-09 887.52400 -1.0
-21.50 78.13 20.95 4.55138e-08 2.27569e-09 887.52400 -1.0
-20.50 78.13 19.85 4.41179e-08 2.20589e-09 887.52400 -1.0
-19.50 78.13 18.75 4.37858e-08 2.18929e-09 887.52400 -1.0
-18.50 78.13 17.64 4.48662e-08 2.24331e-09 887.52400 -1.0
-17.50 78.13 16.53 4.78328e-08 2.39164e-09 887.52400 -1.0
-16.50 78.13 15.42 5.28755e-08 2.64377e-09 887.52400 -1.0
-15.50 78.13 14.30 5.83853e-08 2.91926e-09 887.52400 -1.0
-14.50 78.13 13.18 6.02380e-08 3.01190e-09 887.52400 -1.0
-13.50 78.13 12.06 5.84284e-08 2.92142e-09 887.52400 -1.0
-12.50 78.13 10.93 5.62307e-08 2.81153e-09 887.52400 -1.0
-11.50 78.13 9.80 5.47563e-08 2.73781e-09 887.52400 -1.0
-10.50 78.13 8.67 5.34511e-08 2.67255e-09 887.52400 -1.0
-9.50 78.13 7.54 5.28910e-08 2.64455e-09 887.52400 -1.0
-8.50 78.13 6.40 5.50409e-08 2.75204e-09 887.52400 -1.0
-7.50 78.13 5.27 5.71842e-08 2.85921e-09 887.52400 -1.0
-6.50 78.13 4.13 5.54735e-08 2.77368e-09 887.52400 -1.0
-5.50 78.13 2.99 5.19432e-08 2.59716e-09 887.52400 -1.0
-4.50 78.13 1.85 5.00458e-08 2.50229e-09 887.52400 -1.0
-3.50 78.13 0.72 4.97076e-08 2.48538e-09 887.52400 -1.0
-2.50 78.13 0.19 4.96490e-08 2.48245e-09 887.52400 -1.0
-1.50 78.13 1.02 4.97678e-08 2.48839e-09 887.52400 -1.0
-0.50 78.13 2.16 4.96383e-08 2.48191e-09 887.52400 -1.0
0.50 78.13 3.87 4.87097e-08 2.43548e-09 887.52400 -1.0
1.50 78.13 4.44 4.77107e-08 2.38554e-09 887.52400 -1.0
2.50 78.13 5.59 4.71398e-08 2.35699e-09 887.52400 -1.0
3.50 78.13 6.73 4.70962e-08 2.35481e-09 887.52400 -1.0
4.50 78.13 7.87 4.75304e-08 2.37652e-09 887.52400 -1.0
5.50 78.13 9.01 4.90169e-08 2.45084e-09 887.52400 -1.0
