# LAT    LCM    MU    RAD    ERROR    NU    VIEW
-89.50 82.91 86.27 4.77853e-08 2.38926e-09 852.11500 -1.0
-88.50 82.91 85.39 4.83846e-08 2.41923e-09 852.11500 -1.0
-87.50 82.91 84.52 5.04950e-08 2.52475e-09 852.11500 -1.0
-86.50 82.91 83.64 5.45655e-08 2.72827e-09 852.11500 -1.0
-85.50 82.91 82.77 6.32880e-08 3.16440e-09 852.11500 -1.0
-84.50 82.91 81.89 7.13417e-08 3.56708e-09 852.11500 -1.0
-83.50 82.91 81.01 7.91410e-08 3.95705e-09 852.11500 -1.0
-82.50 82.91 80.14 8.58926e-08 4.29463e-09 852.11500 -1.0
-81.50 82.91 79.26 9.08980e-08 4.54490e-09 852.11500 -1.0
-80.50 82.91 78.38 9.50477e-08 4.75239e-09 852.11500 -1.0
-79.50 82.91 77.50 9.84256e-08 4.92128e-09 852.11500 -1.0
-78.50 82.91 76.62 1.02144e-07 5.10721e-09 852.11500 -1.0
-77.50 82.91 75.73 1.04792e-07 5.23961e-09 852.11500 -1.0
-76.50 82.91 74.85 1.05659e-07 5.28297e-09 852.11500 -1.0
-75.50 82.91 73.96 1.05279e-07 5.26393e-09 852.11500 -1.0
-74.50 82.91 73.07 1.04308e-07 5.21542e-09 852.11500 -1.0
-73.50 82.91 72.18 1.02522e-07 5.12612e-09 852.11500 -1.0
-72.50 82.91 71.29 9.97788e-08 4.98894e-09 852.11500 -1.0
-71.50 82.91 70.39 9.66386e-08 4.83193e-09 852.11500 -1.0
-70.50 82.91 69.50 9.35371e-08 4.67685e-09 852.11500 -1.0
-69.50 82.91 68.60 9.10332e-08 4.55166e-09 852.11500 -1.0
-68.50 82.91 67.70 8.89238e-08 4.44619e-09 852.11500 -1.0
-67.50 82.91 66.79 8.70287e-08 4.35143e-09 852.11500 -1.0
-66.50 82.91 65.89 8.55329e-08 4.27665e-09 852.11500 -1.0
-65.50 82.91 64.98 8.39745e-08 4.19873e-09 852.11500 -1.0
-64.50 82.91 64.06 8.20275e-08 4.10137e-09 852.11500 -1.0
-63.50 82.91 63.15 7.98739e-08 3.99369e-09 852.11500 -1.0
-62.50 82.91 62.23 7.74904e-08 3.87452e-09 852.11500 -1.0
-61.50 82.91 61.31 7.58652e-08 3.79326e-09 852.11500 -1.0
-60.50 82.91 60.38 7.53635e-08 3.76817e-09 852.11500 -1.0
-59.50 82.91 59.45 7.57028e-08 3.78514e-09 852.11500 -1.0
-58.50 82.91 58.52 7.60810e-08 3.80405e-09 852.11500 -1.0
-57.50 82.91 57.58 7.56659e-08 3.78330e-09 852.11500 -1.0
-56.50 82.91 56.64 7.42987e-08 3.71494e-09 852.11500 -1.0
-55.50 82.91 55.70 7.37364e-08 3.68682e-09 852.11500 -1.0
-54.50 82.91 54.75 7.36726e-08 3.68363e-09 852.11500 -1.0
-53.50 82.91 53.80 7.39563e-08 3.69781e-09 852.11500 -1.0
-52.50 82.91 52.84 7.43552e-08 3.71776e-09 852.11500 -1.0
-51.50 82.91 51.88 7.47830e-08 3.73915e-09 852.11500 -1.0
-50.50 82.91 50.92 7.54661e-08 3.77330e-09 852.11500 -1.0
-49.50 82.91 49.95 7.53953e-08 3.76976e-09 852.11500 -1.0
-48.50 82.91 48.98 7.46997e-08 3.73498e-09 852.11500 -1.0
-47.50 82.91 48.00 7.37961e-08 3.68981e-09 852.11500 -1.0
-46.50 82.91 47.02 7.34377e-08 3.67189e-09 852.11500 -1.0
-45.50 82.91 46.03 7.40942e-08 3.70471e-09 852.11500 -1.0
-44.50 82.91 45.04 7.53858e-08 3.76929e-09 852.11500 -1.0
-43.50 82.91 44.04 7.67455e-08 3.83727e-09 852.11500 -1.0
-42.50 82.91 43.04 7.77914e-08 3.88957e-09 852.11500 -1.0
-41.50 82.91 42.04 7.84222e-08 3.92111e-09 852.11500 -1.0
-40.50 82.91 41.03 7.84217e-08 3.92109e-09 852.11500 -1.0
-39.50 82.91 40.01 7.69018e-08 3.84509e-09 852.11500 -1.0
-38.50 82.91 38.99 7.44464e-08 3.72232e-09 852.11500 -1.0
-37.50 82.91 37.97 7.31696e-08 3.65848e-09 852.11500 -1.0
-36.50 82.91 36.94 7.38709e-08 3.69354e-09 852.11500 -1.0
-35.50 82.91 35.91 7.52801e-08 3.76400e-09 852.11500 -1.0
-34.50 82.91 34.87 7.66487e-08 3.83243e-09 852.11500 -1.0
-33.50 82.91 33.83 7.65401e-08 3.82701e-09 852.11500 -1.0
-32.50 82.91 32.78 7.53588e-08 3.76794e-09 852.11500 -1.0
-31.50 82.91 31.73 7.34190e-08 3.67095e-09 852.11500 -1.0
-30.50 82.91 30.67 7.16955e-08 3.58477e-09 852.11500 -1.0
-29.50 82.91 29.61 7.19264e-08 3.59632e-09 852.11500 -1.0
-28.50 82.91 28.54 7.49427e-08 3.74714e-09 852.11500 -1.0
-27.50 82.91 27.47 7.78966e-08 3.89483e-09 852.11500 -1.0
-26.50 82.91 26.39 7.85090e-08 3.92545e-09 852.11500 -1.0
-25.50 82.91 25.31 7.92885e-08 3.96443e-09 852.11500 -1.0
-24.50 82.91 24.23 7.85941e-08 3.92970e-09 852.11500 -1.0
-23.50 82.91 23.14 7.70188e-08 3.85094e-09 852.11500 -1.0
-22.50 82.91 22.05 7.33988e-08 3.66994e-09 852.11500 -1.0
-21.50 82.91 20.95 6.87010e-08 3.43505e-09 852.11500 -1.0
-20.50 82.91 19.85 6.56889e-08 3.28445e-09 852.11500 -1.0
-19.50 82.91 18.75 6.47920e-08 3.23960e-09 852.11500 -1.0
-18.50 82.91 17.64 6.66764e-08 3.33382e-09 852.11500 -1.0
-17.50 82.91 16.53 7.17213e-08 3.58606e-09 852.11500 -1.0
-16.50 82.91 15.42 7.99859e-08 3.99930e-09 852.11500 -1.0
-15.50 82.91 14.30 8.84734e-08 4.42367e-09 852.11500 -1.0
-14.50 82.91 13.18 9.16365e-08 4.58183e-09 852.11500 -1.0
-13.50 82.91 12.06 8.94892e-08 4.47446e-09 852.11500 -1.0
-12.50 82.91 10.93 8.63397e-08 4.31699e-09 852.11500 -1.0
-11.50 82.91 9.80 8.41917e-08 4.20958e-09 852.11500 -1.0
-10.50 82.91 8.67 8.24462e-08 4.12231e-09 852.11500 -1.0
-9.50 82.91 7.54 8.16717e-08 4.08359e-09 852.11500 -1.0
-8.50 82.91 6.40 8.64183e-08 4.32091e-09 852.11500 -1.0
-7.50 82.91 5.27 8.80048e-08 4.40024e-09 852.11500 -1.0
-6.50 82.91 4.13 8.38217e-08 4.19108e-09 852.11500 -1.0
-5.50 82.91 2.99 7.77296e-08 3.88648e-09 852.11500 -1.0
-4.50 82.91 1.85 7.40284e-08 3.70142e-09 852.11500 -1.0
-3.50 82.91 0.71 7.22656e-08 3.61328e-09 852.11500 -1.0
-2.50 82.91 0.16 7.25656e-08 3.62828e-09 852.11500 -1.0
-1.50 82.91 1.01 7.29316e-08 3.64658e-09 852.11500 -1.0
-0.50 82.91 2.16 7.23217e-08 3.61609e-09 852.11500 -1.0
0.50 82.91 3.87 7.01727e-08 3.50863e-09 852.11500 -1.0
1.50 82.91 4.44 6.82451e-08 3.41226e-09 852.11500 -1.0
2.50 82.91 5.58 6.69295e-08 3.34647e-09 852.11500 -1.0
3.50 82.91 6.73 6.61837e-08 3.30919e-09 852.11500 -1.0
4.50 82.91 7.87 6.61740e-08 3.30870e-09 852.11500 -1.0
5.50 82.91 9.01 6.75291e-08 3.37645e-09 852.11500 -1.0
6.50 82.91 10.15 7.05988e-08 3.52994e-09 852.11500 -1.0
7.50 82.91 11.29 7.54248e-08 3.77124e-09 852.11500 -1.0
8.50 82.91 12.43 8.05586e-08 4.02793e-09 852.11500 -1.0
9.50 82.91 13.56 8.47014e-08 4.23507e-09 852.11500 -1.0
10.50 82.91 14.70 9.07234e-08 4.53617e-09 852.11500 -1.0
11.50 82.91 15.83 9.67904e-08 4.83952e-09 852.11500 -1.0
12.50 82.91 16.96 1.00072e-07 5.00360e-09 852.11500 -1.0
13.50 82.91 18.09 1.00799e-07 5.03997e-09 852.11500 -1.0
14.50 82.91 19.21 9.76940e-08 4.88470e-09 852.11500 -1.0
15.50 82.91 20.33 9.00777e-08 4.50388e-09 852.11500 -1.0
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
