# LAT    LCM    MU    RAD    ERROR    NU    VIEW
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
 nan   nan  nan      nan      nan      nan nan
-14.50 191.53 13.19 2.82843e-08 1.41421e-09 956.92200 1.0
-13.50 191.53 12.06 3.05714e-08 1.52857e-09 956.92200 1.0
-12.50 191.53 10.94 3.09850e-08 1.54925e-09 956.92200 1.0
-11.50 191.53 9.81 3.01670e-08 1.50835e-09 956.92200 1.0
-10.50 191.53 8.68 2.91422e-08 1.45711e-09 956.92200 1.0
-9.50 191.53 7.54 2.90271e-08 1.45135e-09 956.92200 1.0
-8.50 191.53 6.41 3.00041e-08 1.50021e-09 956.92200 1.0
-7.50 191.53 5.27 3.03291e-08 1.51645e-09 956.92200 1.0
-6.50 191.53 4.13 2.81802e-08 1.40901e-09 956.92200 1.0
-5.50 191.53 2.99 2.54899e-08 1.27449e-09 956.92200 1.0
-4.50 191.53 1.85 2.41107e-08 1.20554e-09 956.92200 1.0
-3.50 191.53 0.71 2.33205e-08 1.16603e-09 956.92200 1.0
-2.50 191.53 0.14 2.30357e-08 1.15178e-09 956.92200 1.0
-1.50 191.53 1.00 2.31512e-08 1.15756e-09 956.92200 1.0
-0.50 191.53 2.15 2.32119e-08 1.16060e-09 956.92200 1.0
0.50 191.53 3.86 2.30096e-08 1.15048e-09 956.92200 1.0
1.50 191.53 4.43 2.28723e-08 1.14362e-09 956.92200 1.0
2.50 191.53 5.58 2.28417e-08 1.14209e-09 956.92200 1.0
3.50 191.53 6.72 2.32426e-08 1.16213e-09 956.92200 1.0
4.50 191.53 7.86 2.38854e-08 1.19427e-09 956.92200 1.0
5.50 191.53 9.00 2.48284e-08 1.24142e-09 956.92200 1.0
6.50 191.53 10.14 2.66936e-08 1.33468e-09 956.92200 1.0
7.50 191.53 11.28 2.96151e-08 1.48076e-09 956.92200 1.0
8.50 191.53 12.42 3.33058e-08 1.66529e-09 956.92200 1.0
9.50 191.53 13.56 3.62977e-08 1.81489e-09 956.92200 1.0
10.50 191.53 14.69 3.79458e-08 1.89729e-09 956.92200 1.0
11.50 191.53 15.82 3.93791e-08 1.96896e-09 956.92200 1.0
12.50 191.53 16.95 4.03277e-08 2.01638e-09 956.92200 1.0
13.50 191.53 18.08 4.03226e-08 2.01613e-09 956.92200 1.0
14.50 191.53 19.20 3.86383e-08 1.93192e-09 956.92200 1.0
15.50 191.53 20.32 3.53773e-08 1.76886e-09 956.92200 1.0
16.50 191.53 21.44 3.12688e-08 1.56344e-09 956.92200 1.0
17.50 191.53 22.56 2.70995e-08 1.35498e-09 956.92200 1.0
18.50 191.53 23.67 2.41708e-08 1.20854e-09 956.92200 1.0
19.50 191.53 24.78 2.33579e-08 1.16790e-09 956.92200 1.0
20.50 191.53 25.89 2.36771e-08 1.18385e-09 956.92200 1.0
21.50 191.53 26.99 2.55265e-08 1.27633e-09 956.92200 1.0
22.50 191.53 28.09 2.74478e-08 1.37239e-09 956.92200 1.0
23.50 191.53 29.18 2.64937e-08 1.32469e-09 956.92200 1.0
24.50 191.53 30.27 2.42706e-08 1.21353e-09 956.92200 1.0
25.50 191.53 31.36 2.31509e-08 1.15755e-09 956.92200 1.0
26.50 191.53 32.44 2.27913e-08 1.13956e-09 956.92200 1.0
27.50 191.53 33.52 2.17448e-08 1.08724e-09 956.92200 1.0
28.50 191.53 34.59 1.99858e-08 9.99292e-10 956.92200 1.0
29.50 191.53 35.66 1.93936e-08 9.69681e-10 956.92200 1.0
30.50 191.53 36.72 1.93422e-08 9.67109e-10 956.92200 1.0
31.50 191.53 37.78 2.00855e-08 1.00427e-09 956.92200 1.0
32.50 191.53 38.84 2.07497e-08 1.03749e-09 956.92200 1.0
33.50 191.53 39.89 2.03943e-08 1.01972e-09 956.92200 1.0
34.50 191.53 40.93 2.08660e-08 1.04330e-09 956.92200 1.0
35.50 191.53 41.97 2.04410e-08 1.02205e-09 956.92200 1.0
36.50 191.53 43.01 1.91066e-08 9.55332e-10 956.92200 1.0
37.50 191.53 44.04 1.82960e-08 9.14801e-10 956.92200 1.0
38.50 191.53 45.07 1.83567e-08 9.17836e-10 956.92200 1.0
39.50 191.53 46.09 1.89244e-08 9.46218e-10 956.92200 1.0
