# LAT    LCM    MU    RAD    ERROR    NU
-89.50 131.55 86.27 1.21768e-07 6.08840e-09 563.97095
-88.50 131.55 85.40 1.22147e-07 6.10734e-09 563.97095
-87.50 131.55 84.52 1.22259e-07 6.11297e-09 563.97095
-86.50 131.55 83.65 1.23521e-07 6.17606e-09 563.97095
-85.50 131.55 82.77 1.27905e-07 6.39523e-09 563.97095
-84.50 131.55 81.90 1.32197e-07 6.60986e-09 563.97095
-83.50 131.55 81.02 1.36094e-07 6.80468e-09 563.97095
-82.50 131.55 80.14 1.39447e-07 6.97233e-09 563.97095
-81.50 131.55 79.27 1.42292e-07 7.11459e-09 563.97095
-80.50 131.55 78.39 1.45551e-07 7.27757e-09 563.97095
-79.50 131.55 77.50 1.48882e-07 7.44410e-09 563.97095
-78.50 131.55 76.62 1.52020e-07 7.60102e-09 563.97095
-77.50 131.55 75.74 1.54603e-07 7.73013e-09 563.97095
-76.50 131.55 74.85 1.56777e-07 7.83884e-09 563.97095
-75.50 131.55 73.97 1.58162e-07 7.90812e-09 563.97095
-74.50 131.55 73.08 1.59097e-07 7.95483e-09 563.97095
-73.50 131.55 72.19 1.60086e-07 8.00428e-09 563.97095
-72.50 131.55 71.30 1.61063e-07 8.05315e-09 563.97095
-71.50 131.55 70.40 1.62215e-07 8.11074e-09 563.97095
-70.50 131.55 69.50 1.63622e-07 8.18109e-09 563.97095
-69.50 131.55 68.61 1.65378e-07 8.26888e-09 563.97095
-68.50 131.55 67.70 1.67569e-07 8.37845e-09 563.97095
-67.50 131.55 66.80 1.70418e-07 8.52090e-09 563.97095
-66.50 131.55 65.89 1.74006e-07 8.70030e-09 563.97095
-65.50 131.55 64.98 1.78509e-07 8.92544e-09 563.97095
-64.50 131.55 64.07 1.83064e-07 9.15321e-09 563.97095
-63.50 131.55 63.15 1.87448e-07 9.37241e-09 563.97095
-62.50 131.55 62.23 1.91471e-07 9.57353e-09 563.97095
-61.50 131.55 61.31 1.95621e-07 9.78104e-09 563.97095
-60.50 131.55 60.39 1.99567e-07 9.97833e-09 563.97095
-59.50 131.55 59.46 2.02184e-07 1.01092e-08 563.97095
-58.50 131.55 58.53 2.01992e-07 1.00996e-08 563.97095
-57.50 131.55 57.59 2.00121e-07 1.00061e-08 563.97095
-56.50 131.55 56.65 1.98494e-07 9.92470e-09 563.97095
-55.50 131.55 55.70 1.98036e-07 9.90181e-09 563.97095
-54.50 131.55 54.76 1.98657e-07 9.93287e-09 563.97095
-53.50 131.55 53.81 1.99511e-07 9.97553e-09 563.97095
-52.50 131.55 52.85 2.00869e-07 1.00435e-08 563.97095
-51.50 131.55 51.89 2.02626e-07 1.01313e-08 563.97095
-50.50 131.55 50.92 2.03611e-07 1.01806e-08 563.97095
-49.50 131.55 49.96 2.03427e-07 1.01713e-08 563.97095
-48.50 131.55 48.98 2.02532e-07 1.01266e-08 563.97095
-47.50 131.55 48.01 2.01979e-07 1.00990e-08 563.97095
-46.50 131.55 47.02 2.02597e-07 1.01299e-08 563.97095
-45.50 131.55 46.04 2.04663e-07 1.02331e-08 563.97095
-44.50 131.55 45.05 2.07776e-07 1.03888e-08 563.97095
-43.50 131.55 44.05 2.11294e-07 1.05647e-08 563.97095
-42.50 131.55 43.05 2.13690e-07 1.06845e-08 563.97095
-41.50 131.55 42.05 2.13743e-07 1.06872e-08 563.97095
-40.50 131.55 41.04 2.11874e-07 1.05937e-08 563.97095
-39.50 131.55 40.02 2.08789e-07 1.04394e-08 563.97095
-38.50 131.55 39.00 2.06386e-07 1.03193e-08 563.97095
-37.50 131.55 37.98 2.05976e-07 1.02988e-08 563.97095
-36.50 131.55 36.95 2.07298e-07 1.03649e-08 563.97095
-35.50 131.55 35.91 2.09717e-07 1.04859e-08 563.97095
-34.50 131.55 34.88 2.12946e-07 1.06473e-08 563.97095
-33.50 131.55 33.83 2.11980e-07 1.05990e-08 563.97095
-32.50 131.55 32.79 2.08202e-07 1.04101e-08 563.97095
-31.50 131.55 31.73 2.05358e-07 1.02679e-08 563.97095
-30.50 131.55 30.68 2.05811e-07 1.02905e-08 563.97095
-29.50 131.55 29.61 2.10068e-07 1.05034e-08 563.97095
-28.50 131.55 28.55 2.14520e-07 1.07260e-08 563.97095
-27.50 131.55 27.48 2.17339e-07 1.08670e-08 563.97095
-26.50 131.55 26.40 2.15136e-07 1.07568e-08 563.97095
-25.50 131.55 25.32 2.08995e-07 1.04498e-08 563.97095
-24.50 131.55 24.24 2.00252e-07 1.00126e-08 563.97095
-23.50 131.55 23.15 1.90024e-07 9.50119e-09 563.97095
-22.50 131.55 22.06 1.81480e-07 9.07402e-09 563.97095
-21.50 131.55 20.96 1.76104e-07 8.80518e-09 563.97095
-20.50 131.55 19.86 1.74113e-07 8.70567e-09 563.97095
-19.50 131.55 18.76 1.75455e-07 8.77277e-09 563.97095
-18.50 131.55 17.65 1.80591e-07 9.02957e-09 563.97095
-17.50 131.55 16.54 1.89582e-07 9.47912e-09 563.97095
-16.50 131.55 15.42 2.00917e-07 1.00459e-08 563.97095
-15.50 131.55 14.31 2.12816e-07 1.06408e-08 563.97095
-14.50 131.55 13.19 2.23527e-07 1.11764e-08 563.97095
-13.50 131.55 12.06 2.32226e-07 1.16113e-08 563.97095
-12.50 131.55 10.94 2.38478e-07 1.19239e-08 563.97095
-11.50 131.55 9.81 2.41790e-07 1.20895e-08 563.97095
-10.50 131.55 8.68 2.41590e-07 1.20795e-08 563.97095
-9.50 131.55 7.55 2.37846e-07 1.18923e-08 563.97095
-8.50 131.55 6.41 2.31201e-07 1.15600e-08 563.97095
-7.50 131.55 5.27 2.22546e-07 1.11273e-08 563.97095
-6.50 131.55 4.14 2.13253e-07 1.06626e-08 563.97095
-5.50 172.94 3.00 2.03840e-07 1.01920e-08 563.97095
-4.50 172.94 1.85 1.97815e-07 9.89077e-09 563.97095
-3.50 172.94 0.72 1.91469e-07 9.57344e-09 563.97095
-2.50 169.30 0.15 1.84840e-07 9.24202e-09 563.97095
-1.50 155.10 1.00 1.82832e-07 9.14161e-09 563.97095
-0.50 131.75 2.14 1.83230e-07 9.16148e-09 563.97095
0.50 155.39 3.86 1.82758e-07 9.13792e-09 563.97095
1.50 155.39 4.43 1.81421e-07 9.07106e-09 563.97095
2.50 186.52 5.57 1.87083e-07 9.35416e-09 563.97095
3.50 186.52 6.71 1.87922e-07 9.39608e-09 563.97095
4.50 186.52 7.86 1.89482e-07 9.47411e-09 563.97095
5.50 186.52 9.00 1.92288e-07 9.61441e-09 563.97095
6.50 186.52 10.14 1.96882e-07 9.84412e-09 563.97095
7.50 186.52 11.28 2.04377e-07 1.02188e-08 563.97095
8.50 186.52 12.42 2.15133e-07 1.07566e-08 563.97095
9.50 186.52 13.55 2.28293e-07 1.14147e-08 563.97095
10.50 186.52 14.69 2.42402e-07 1.21201e-08 563.97095
11.50 186.52 15.82 2.55875e-07 1.27937e-08 563.97095
12.50 186.52 16.95 2.66457e-07 1.33228e-08 563.97095
13.50 186.52 18.07 2.72373e-07 1.36187e-08 563.97095
14.50 186.52 19.20 2.72196e-07 1.36098e-08 563.97095
15.50 186.52 20.32 2.66036e-07 1.33018e-08 563.97095
16.50 186.52 21.44 2.54962e-07 1.27481e-08 563.97095
17.50 186.52 22.56 2.41201e-07 1.20601e-08 563.97095
18.50 186.52 23.67 2.28582e-07 1.14291e-08 563.97095
19.50 186.52 24.78 2.21101e-07 1.10550e-08 563.97095
20.50 186.52 25.88 2.20450e-07 1.10225e-08 563.97095
21.50 186.52 26.98 2.25613e-07 1.12806e-08 563.97095
22.50 186.52 28.08 2.32440e-07 1.16220e-08 563.97095
23.50 186.52 29.18 2.34764e-07 1.17382e-08 563.97095
24.50 186.52 30.27 2.30941e-07 1.15471e-08 563.97095
25.50 186.52 31.35 2.26052e-07 1.13026e-08 563.97095
26.50 186.52 32.44 2.21462e-07 1.10731e-08 563.97095
27.50 186.52 33.51 2.16306e-07 1.08153e-08 563.97095
28.50 186.52 34.59 2.11701e-07 1.05850e-08 563.97095
29.50 186.52 35.65 2.07522e-07 1.03761e-08 563.97095
30.50 186.52 36.72 2.05122e-07 1.02561e-08 563.97095
31.50 186.52 37.78 2.05724e-07 1.02862e-08 563.97095
32.50 186.52 38.83 2.08875e-07 1.04438e-08 563.97095
33.50 186.52 39.88 2.10971e-07 1.05486e-08 563.97095
34.50 186.52 40.93 2.11012e-07 1.05506e-08 563.97095
